activePower,apparentPower,current,harmonic1,harmonic2,harmonic3,harmonic4,harmonic5,harmonic6,harmonic7,harmonic8,harmonic9,phase,reactivePower,voltage
0,0,14,262,324,324,460,763,638,194,701,868,28833,0,36121
2,2,14,1199,793,130,366,1482,437,950,188,518,32116,0,36081
0,1,14,432,593,446,243,363,251,324,510,743,28594,0,36087
2,2,14,1212,111,497,357,1019,216,260,1054,237,30687,1,36102
1,1,14,643,622,382,179,179,534,755,235,537,28845,0,36102
1,1,15,870,772,232,564,1000,257,497,283,790,30290,0,36092
0,1,14,417,477,439,533,557,611,579,723,404,29790,0,36066
1,1,14,868,354,474,297,250,555,176,914,992,34660,0,36069
1,1,14,643,217,313,450,228,704,643,292,126,29219,0,36087
1,1,14,793,812,493,644,472,450,490,476,85,33915,0,36083
